Category_1,Sum of quantity
Accessories,63
Adhesives & Tape,614
Air Fryers,871
"Air Purifiers, Humidifiers & Fans",27
Aluminium Foil,691
Aprons & Kitchen Gloves,1674
Bags,8340
Bakewares & Decorations,2500
Bar,4519
Basic Mousepads,2974
"Basins, Buckets & Water Dippers",1208
Bathroom,26968
Bed & Mettresses,917
Bedding Sets & Accessories,4887
Blankets,336
Bleach & Disinfectants,512
Bookcases & Shelving,9422
Bowls & Plate,231
"Bread, Cake & Cookie Accessories",496
"Brooms, Brushes & Dusters",17335
Cake & Tiered Stands,51
Camping Lamps & Flashlights,435
Camping Stoves,258
Can & Bottle Openers,449
Canisters,570
Car/Mini/Desktop Vacuum Cleaners,165
Carpets & Rugs,18778
Casual,32
Chairs & Seat,67141
Chopping Boards,165
Cleaning Agents,1430
Cleaning Buckets & Tubs,511
Cleaning Cloths,39411
Cleaning Tools,3489
Cling Wrap & Sealer,439
Clocks,3219
Cloth Napkins,282
"Clothes Hangers, Line & Drying Racks",92320
Cloths & Towels,5310
Coat Racks & Umbrella Stands,3371
Colanders & Food Strainers,982
Condiment & Spice Racks,2478
Cooking Utensils,258
Cupboards & Cabinets,17445
"Cups, Mugs & Glasses",1564
Curtains & Blinds,5604
Cushions,44
Cutleries,696
Decorative Accessories,437
Decorative Door Stops,3301
Desks & Tables,65557
Dining Room Sets,148
Dish Cloth & Towels,45168
Dishracks & Sink accessories,6699
Dispensers,257
Docks & Stands,559
Doors & Windows,3090
"Drills, Drivers & Accessories",658
Edge & Corner Guards,1237
Face Mask,6686
Fengshui & Religious Supplies,296
Flatware Sets,966
Floor Mats,571
Food Covers,6503
Food Storage & Dispensers,4658
Garden equipment,10
Gardening Tools & Decorations,322
Garlic Presses,332
Glass Care & Water Repellents,2842
"Graters, Peelers , Cutters & Slicers",3862
Gravity Water Dispenser,488
"Griddle, Grinder & Grills",4515
Hand Trucks & Dollies,3803
Head Protection,1685
Hooks,18995
Household Security Systems,2027
Ice Maker & Ice Cream Moulds,182
Industrial Adhesives & Tapes,372
Industrial Supplies,30
Inspection Tools,334
Interior Care,526
Jewelry Organizers,2718
Kids Bookcases & Shelving,321
Kitchen Canisters & Jars,731
Kitchen Organizers,2600
Kitchen Racks,22340
Kitchen Weighing Scales,1758
Knife Sharpeners & Blocks,500
Knives & Kitchen Scissors,4195
Ladders & Workbenches,81
Laptop,810
Laundry,2747
Lighting,4619
Lunch Bags & Boxes,2467
Makeup Bags & Organizers,1593
Masks & Filters,17557
Measuring Tools & Scales,2616
mechanic equipment,346
Media & TV Storage,2419
Mesh Covers,1619
Milk Frothers,142
Mirrors,699
Mops,165649
Mosquito Nets,74
Mouse Pads,1761
Multipurpose Cleaner,3189
Office,54
Organizers & Compartments,113
Other Specialty Kitchen Tools,3963
Others,13777
Outdoor Sets,566
Picture Hangers & Hooks,29415
Pillows,1440
"Pots, Pans, Planters & Urns",5793
Potty,867
Preparation & Cutting Boards,156
"Protective Gloves, Goggles & Masks",19286
Ratchets & Sockets,342
Rechargeable & Flashlights,6169
Refrigerator Parts & Accessories,152
Roofing & Flooring,123
Rotary Tool Parts & Accessories,124
Safety Locks & Straps,515
Salt & Pepper Tools,103
Scale & Body Fat Analyzers,7283
Sewing Machines & Accessories,11137
Shades & Awnings,266
Shelters & Canopies,1246
Shelves & Racks,58890
Shoe Organisers,83361
Shower Caddies & Hangers,3757
Shower Curtains,230
Showerheads & Bidet Sprays,118
Sideboards & Buffets,139
Sofas,10675
Space Savers,2355
Spanner Sets,395
Spatulas & Cooking Tweezers,2525
Specialty Glassware,1515
"Sponges, Scourers & Cloths",17609
"Storage Boxes, Bags & Baskets",32086
Strainers,1784
Straws,1419
Strollers & Travel Systems,29
"Tea, Coffee & Bartending Equipments",2518
Tents & Tent Accessories,2668
Thermal Flasks & Containers,11063
Tissues,27384
Toilet,4665
Tool Storage & Shelving,774
Toothbrush Holders & Toothpaste Dispensers,3502
"Towels, Rails & Warmer",180
Traps & Drains,132
Trash & Bins,9207
Trolleys & Carriers,12377
Vacuum Cleaners & Floor Care Appliances,140
Wallpapers & Wall Stickers,532
Wardrobe Organizers,8350
Wardrobes,33907
Wash & Waxes,2652
Washer & Dryer Parts & Accessories,76
Water Bottles & Accessories,27210
"Water Pumps, Parts & Accessories",3256
Water Purifiers Systems,427
Watering Systems & Garden Hoses,57
Whisks & Beaters,1836
Windows & Glass,223
Grand Total,1306199
